"Author H-ID",rec_Title,"Family name","Given name(s)",Gender,"Birth date","Place of birth (Place_mapped) H-ID","Place of birth RecordTitle","Place of birth","Place of birth RecordTitle","Related Person(s) (Author) H-ID","Related Person(s) RecordTitle","Alternate name(s) / title(s)","Death date","Place of death","Place of death RecordTitle","Place of death (Place_mapped) H-ID","Place of death RecordTitle","Life events H-ID","Life events RecordTitle"
33,"Sarna, Mohinder Singh",Sarna,"Mohinder Singh",Male,1923,125,"Rawalpindi - 1. High confidence",125,"Rawalpindi - 1. High confidence",,,,2001,247,"New Delhi - 1. High confidence",247,"New Delhi - 1. High confidence",,
34,"Ashraf, Syed Mohammed",Ashraf,"Syed Mohammed",Male,"8 Jul  1957",245,"Sitapur - 1. High confidence",245,"Sitapur - 1. High confidence",,,,,,,,,,
176,"Manto, Saadat Hasan",Manto,"Saadat Hasan",Male,"11 May  1912",246,"Samrala - 1. High confidence",246,"Samrala - 1. High confidence",,,,"18 Jan  1955",60,"Lahore - 1. High confidence",60,"Lahore - 1. High confidence",,
251,"Bedi, Rajinder Singh",Bedi,"Rajinder Singh",Male,"1 Sep  1915",252,"Sialkot - 1. High confidence",252,"Sialkot - 1. High confidence",,,,1984,234,"Bombay - 1. High confidence",234,"Bombay - 1. High confidence",,
36,"Bhalla, Alok",Bhalla,Alok,,,,,,,,,,,,,,,,
253,"Rakesh, Mohan",Rakesh,Mohan,Male,"8 Jan  1925",250,"Amritsar - 1. High confidence",250,"Amritsar - 1. High confidence",,,,,247,"New Delhi - 1. High confidence",247,"New Delhi - 1. High confidence",,
916,"Ajneya, S.H Vatsayan",Ajneya,"S.H Vatsayan",,,,,,,,,,,,,,,,
803,"Umm-e-Ummara, Umm-e-Ummara",Umm-e-Ummara,Umm-e-Ummara,,,,,,,,,,,,,,,,
209,"Husain, Intizar",Husain,Intizar,Male,"21 Dec  1925",244,"Dibai - 1. High confidence",244,"Dibai - 1. High confidence",,,,"2 Feb  2016",60,"Lahore - 1. High confidence",60,"Lahore - 1. High confidence",,
1200,"Ahmad Nadeem Qasmi","Ahmad Nadeem Qasmi",,,,,,,,,,,,,,,,,
1319,"Sahni, Bhisham",Sahni,Bhisham,Male,,,,,,,,,,,,,,,
1369,"Unknown, Ramlal",Unknown,Ramlal,Male,,,,,,,,,,,,,,,
1315,"Antharjanam, Lalithambika",Antharjanam,Lalithambika,Female,,,,,,,,,,,,,,,
248,"Choudhary, Salil",Choudhary,Salil,Male,,,,,,,,,,,,,,,
1251,"Bandopadhyay, Manik",Bandopadhyay,Manik,Male,"19 May  1908",1252,"Dumka - 1. High confidence",1252,"Dumka - 1. High confidence",,,"Banerjee|Manik Bandyopadhayay","3 Dec  1956",873,"Calcutta - 1. High confidence",873,"Calcutta - 1. High confidence",,
1732,"Bhaduri, Satinath",Bhaduri,Satinath,Male,,,,,,,,,,,,,,,
2009,"Ayyaz, Shaikh",Ayyaz,Shaikh,,,,,,,,,,,,,,,,
2055,"Shah, Abdul Latif Bhittai",Shah,"Abdul Latif Bhittai",,,,,,,,,,,,,,,,
1717,"Virk, Kulwant Singh Virk",Virk,"Kulwant Singh Virk",,,,,,,,,,,,,,,,
2205,Yashpal,Yashpal,,,,,,,,,,,,,,,,,
2347,"Ibnr Insha","Ibnr Insha",,,,,,,,,,,,,,,,,
2370,"Mohan Rakesh","Mohan Rakesh",,,,,,,,,,,,,,,,,
