"Event H-ID","Character(s) Present H-ID",rec_Title
128,131,"Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot"""
256,131,"Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot"""
257,44|46|45,"Musali - Hashmat Alias: None
in ""Qazi da Kot""|Oil Presser - Jumma Alias: None
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
258,44|45|46,"Musali - Hashmat Alias: None
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Oil Presser - Jumma Alias: None
in ""Qazi da Kot"""
259,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
260,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
261,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
307,59|67|97|95|98,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
308,59|289|95|98|98,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Bhai Farrukh Alias: None
in ""A Letter from India""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
309,95|67|59|98|97,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock"""
310,289|95|98|59|98,"Ali - Bhai Farrukh Alias: None
in ""A Letter from India""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
312,97|95|98|59,"Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
313,59|67|97|98|95,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
314,67|59|97|98|95,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock"""
315,67|80|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Wife of Gulam Ali - Jameela Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
318,67|80|59|95|97|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Wife of Gulam Ali - Jameela Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
319,95|59,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
320,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
321,67|80|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Wife of Gulam Ali - Jameela Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
