"Place_mapped H-ID",rec_Title,"Place name","Additional (equivalent) names","Location (mappable)","Locational certainty"
96,"Qazi da Kot - 1. High confidence","Qazi da Kot","Kot Qazi","POINT(74.09096 32.157159)","1. High confidence"
60,"Lahore - 1. High confidence",Lahore,,"POINT(74.358747 31.52037)","1. High confidence"
2342,"Anarkali Bazaar - 1. High confidence","Anarkali Bazaar",Anarkali,"POINT(74.312015 31.569813)","1. High confidence"
2343,"Shah Alami Gate - 3. Conjectural","Shah Alami Gate",,"POINT(74.318054 31.578235)","3. Conjectural"
69,"Pakistan - 1. High confidence",Pakistan,,"POINT(69.345116 30.375321)","1. High confidence"
557,"Wagah Border - 1. High confidence","Wagah Border",,"POINT(74.574136 31.604757)","1. High confidence"
567,"Jammu - 1. High confidence",Jammu,,"POINT(74.857026 32.726602)","1. High confidence"
439,"Suchetgarh Border Crossing - 1. High confidence","Suchetgarh Border Crossing",,"POINT(74.676435 32.567225)","1. High confidence"
598,"Ayodhya - 1. High confidence",Ayodhya,,"POINT(82.199795 26.792161)","1. High confidence"
457,"Khasry - 1. High confidence",Khasry,,"POINT(74.102707 32.419674)","1. High confidence"
459,"Chak Khana - 1. High confidence","Chak Khana",Khanachak,"POINT(74.676637 32.573043)","1. High confidence"
241,"Bangladesh - 1. High confidence",Bangladesh,"East Pakistan","POINT(90.356331 23.684994)","1. High confidence"
467,"Ludhiana - 1. High confidence",Ludhiana,,"POINT(75.857276 30.900965)","1. High confidence"
470,"Patiala - 1. High confidence",Patiala,,"POINT(76.38688 30.339781)","1. High confidence"
919,"Etawah - 1. High confidence",Etawah,,"POINT(79.027659 26.78291)","1. High confidence"
922,"Aligargh - 1. High confidence",Aligargh,,"POINT(78.088013 27.897394)","1. High confidence"
925,"Punjab - 1. High confidence",Punjab,,"POINT(75.341218 31.147131)","1. High confidence"
61,"Chak Shahpur - 3. Conjectural","Chak Shahpur",,"POINT(73.939656 31.787395)","3. Conjectural"
64,"Kharianwala - 3. Conjectural",Kharianwala,,"POINT(73.933441 31.657607)","3. Conjectural"
66,"India - 1. High confidence",India,,"POINT(78.96288 20.593684)","1. High confidence"
65,"U.P. - 1. High confidence",U.P.,"Uttar Pradesh","POINT(80.946159 26.846709)","1. High confidence"
68,"Hardoi District - 1. High confidence","Hardoi District",,"POINT(80.187507 27.297897)","1. High confidence"
461,"International border (The one between India and Pakistan) - 1. High confidence","International border (The one between India and Pakistan)",,"POINT(74.673498 32.565487)","1. High confidence"
70,"Karachi - 1. High confidence",Karachi,,"POINT(67.001136 24.860734)","1. High confidence"
188,"Karachi - 1. High confidence",Karachi,,"POINT(67.001136 24.860734)","1. High confidence"
214,"Dhaka - 1. High confidence",Dhaka,,"POINT(90.412518 23.810332)","1. High confidence"
189,"Kuwait - 1. High confidence",Kuwait,,"POINT(47.481766 29.31166)","1. High confidence"
191,"London - 1. High confidence",London,,"POINT(-0.127586 51.507218)","1. High confidence"
220,"Kathmandu - 1. High confidence",Kathmandu,,"POINT(85.323961 27.717245)","1. High confidence"
473,"Delhi - 1. High confidence",Delhi,,"POINT(77.10249 28.704059)","1. High confidence"
822,"Santahar - 1. High confidence",Santahar,,"POINT(88.986696 24.808729)","1. High confidence"
819,"Phoolbari - 3. Conjectural",Phoolbari,Fulbari,"POINT(88.41881 26.667106)","3. Conjectural"
927,"Shekhupura - 1. High confidence",Shekhupura,Sheikhupura,"POINT(73.985024 31.716662)","1. High confidence"
229,"Akbarabad - 2. Probable location",Akbarabad,,"POINT(54.043046 28.948726)","2. Probable location"
234,"Bombay - 1. High confidence",Bombay,,"POINT(72.877656 19.075984)","1. High confidence"
1401,"Peshawar - 1. High confidence",Peshawar,,"POINT(71.524915 34.015137)","1. High confidence"
1396,"Gurdaspur - 1. High confidence",Gurdaspur,,"POINT(75.403086 32.041392)","1. High confidence"
1350,"Wazirabad Station - 1. High confidence","Wazirabad Station",,"POINT(74.112431 32.446644)","1. High confidence"
250,"Amritsar - 1. High confidence",Amritsar,,"POINT(74.872264 31.633979)","1. High confidence"
873,"Calcutta - 1. High confidence",Calcutta,Kolkata,"POINT(88.363895 22.572646)","1. High confidence"
875,"Kasba (in Kolkata) - 1. High confidence","Kasba (in Kolkata)",,"POINT(88.382751 22.519536)","1. High confidence"
881,"Bagerhat - 1. High confidence",Bagerhat,,"POINT(89.766153 22.655452)","1. High confidence"
885,"Beadon Street - 2. Probable location","Beadon Street","Abhedananda Rd","POINT(88.367648 22.5892)","2. Probable location"
887,"Ranaghat - 1. High confidence",Ranaghat,,"POINT(88.560573 23.174455)","1. High confidence"
906,"Howrah - 1. High confidence",Howrah,,"POINT(88.263639 22.595769)","1. High confidence"
893,"Khulna - 1. High confidence",Khulna,,"POINT(89.540328 22.845641)","1. High confidence"
895,"24 Parganas - 1. High confidence","24 Parganas",,"POINT(88.402895 22.61681)","1. High confidence"
898,"Deccan - 3. Conjectural",Deccan,,"POINT(77 14)","3. Conjectural"
912,"Howrah Bridge - 1. High confidence","Howrah Bridge",,"POINT(88.346805 22.585148)","1. High confidence"
1736,"Gopalpur - 2. Probable location",Gopalpur,,"POINT(87.643314 25.803596)","2. Probable location"
1740,"Purnea - 1. High confidence",Purnea,Purnia,"POINT(87.475255 25.777139)","1. High confidence"
1743,"Sripur - 1. High confidence",Sripur,Shripur,"POINT(87.072602 25.392282)","1. High confidence"
1747,"Dinajpur - 2. Probable location",Dinajpur,,"POINT(86.642215 26.28436)","2. Probable location"
804,"Bengal - 1. High confidence",Bengal,"West Bengal","POINT(87.854976 22.986757)","1. High confidence"
1753,"Bihar - 1. High confidence",Bihar,,"POINT(85.313119 25.096074)","1. High confidence"
1777,"Mirpur - 1. High confidence",Mirpur,,"POINT(84.272651 26.066899)","1. High confidence"
1758,"Malda - 1. High confidence",Malda,,"POINT(84.519597 27.12274)","1. High confidence"
1767,"Sudhani - 1. High confidence",Sudhani,,"POINT(87.882713 25.726934)","1. High confidence"
1773,"Noakhali - 1. High confidence",Noakhali,,"POINT(91.101733 22.824638)","1. High confidence"
2181,"Chitpur - 1. High confidence",Chitpur,,"POINT(88.352771 22.576084)","1. High confidence"
811,"Patna - 1. High confidence",Patna,,"POINT(85.137565 25.594095)","1. High confidence"
1877,"Titlia - 1. High confidence",Titlia,,"POINT(87.799695 26.147286)","1. High confidence"
1760,"Jalpaiguri - 1. High confidence",Jalpaiguri,,"POINT(88.719557 26.521458)","1. High confidence"
2256,"Gangu ki Gali, Lahore - 2. Probable location","Gangu ki Gali, Lahore",,"POINT(74.312859 31.580863)","2. Probable location"
2267,"Hira Mandi, Lahore - 1. High confidence","Hira Mandi, Lahore",,"POINT(74.308051 31.586072)","1. High confidence"
2258,"Sayyidmittha Bazaar, Lahore - 1. High confidence","Sayyidmittha Bazaar, Lahore",,"POINT(74.313464 31.582566)","1. High confidence"
101,"Lamba well - 3. Conjectural","Lamba well",,"POINT(74.097126 32.164424)","3. Conjectural"
657,"Hafizabad Road - between Chak Shahpur and Kharianwala - 5. Mobile","Hafizabad Road - between Chak Shahpur and Kharianwala",,"POINT(73.958865 31.72994)","5. Mobile"
656,"Lahore-Sheikhupura Road - 5. Mobile","Lahore-Sheikhupura Road",,"POINT(74.191119 31.640644)","5. Mobile"
403,"Misri Bazaar - 1. High confidence","Misri Bazaar",,"POINT(74.873173 31.618777)","1. High confidence"
406,"Bansan Bazaar - 1. High confidence","Bansan Bazaar","Bansa wala Bazaar","POINT(74.873739 31.618727)","1. High confidence"
434,"Ranbir Singh Pura, Jammu - 1. High confidence","Ranbir Singh Pura, Jammu",,"POINT(74.731531 32.604899)","1. High confidence"
125,"Rawalpindi - 1. High confidence",Rawalpindi,,"POINT(73.049832 33.606197)","1. High confidence"
455,"Phulra - 1. High confidence",Phulra,,"POINT(73.056023 34.33459)","1. High confidence"
655,"Jamia Masjid Rahmatul-lil-Alameen - 4. Uncertain","Jamia Masjid Rahmatul-lil-Alameen",,"POINT(73.955838 31.681548)","4. Uncertain"
227,"Isphahan - 2. Probable location",Isphahan,,"POINT(51.665966 32.653897)","2. Probable location"
231,"Jahanabad - 3. Conjectural",Jahanabad,,"POINT(84.985332 25.213265)","3. Conjectural"
236,"Sri Lanka - 1. High confidence","Sri Lanka",,"POINT(80.771797 7.873054)","1. High confidence"
1362,"Before Jhelum railway station - 5. Mobile","Before Jhelum railway station",,"POINT(73.307987 33.258893)","5. Mobile"
1348,"Railway line between Jhelum and Wazirabad stations - 5. Mobile","Railway line between Jhelum and Wazirabad stations",,"POINT(73.749569 32.906911)","5. Mobile"
1365,"Between Wazirabad and Harbanspura - 5. Mobile","Between Wazirabad and Harbanspura",,"POINT(74.259604 31.826588)","5. Mobile"
1352,"Harbanspura - 1. High confidence",Harbanspura,,"POINT(74.436648 31.56914)","1. High confidence"
1354,"Amritsar - 1. High confidence",Amritsar,,"POINT(74.872264 31.633979)","1. High confidence"
1356,"Amritsar Railway Station - 1. High confidence","Amritsar Railway Station",,"POINT(74.866886 31.632939)","1. High confidence"
1358,"Between Amritsar and Delhi - 5. Mobile","Between Amritsar and Delhi",,"POINT(76.764141 30.378229)","5. Mobile"
1432,"Miyanwali - 1. High confidence",Miyanwali,Mianwali,"POINT(71.53703 32.583923)","1. High confidence"
1499,"Sindh - 1. High confidence",Sindh,,"POINT(68.524715 25.894302)","1. High confidence"
883,"Train track between Howrah and Bagerhat - 5. Mobile","Train track between Howrah and Bagerhat",,"POINT(88.529332 23.076525)","5. Mobile"
889,"Ranaghat Junction - 1. High confidence","Ranaghat Junction",,"POINT(88.568963 23.174564)","1. High confidence"
910,"Howrah Station - 1. High confidence","Howrah Station",,"POINT(88.343407 22.583946)","1. High confidence"
1750,"Nagar - 1. High confidence",Nagar,,"POINT(87.773874 25.548312)","1. High confidence"
