event_id,start_page_event,end_page_event,page_event_number,line,narrative_status,chronology,chronology_type,PresentMentioned,character_id,given_names,gender_character,family_name_character,aka,book_id,title_of_book,title_of_chapter,author_s,family_name_author,given_name_s,gender_author,birth_date,text_id,place_textual,text_place_name,text,place_modality,place_mapped,ontology,place_name,location_mappable,locational_certainty,additional_equivalent_names
2534,104,104,2,See how long this garland is,First-person,14,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2534,104,104,2,See how long this garland is,First-person,14,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2531,104,104,1,I ran into the fields,Told,5,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2532,Fields,2491,Public,NA,Imagined,NA,NA,NA,NA
2531,104,104,1,I ran into the fields,Told,5,Sequential,Present,2533,Unnamed,Male,Man in the fields,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2532,Fields,2491,Public,NA,Imagined,NA,NA,NA,NA
2528,103,104,5,"""I don't know. I was with Chand Bibi.",Told,4,Sequential,Present,2530,Unnamed,Female,Chand Bibi,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2529,Chand Bibi's house,2491,Private,NA,Imagined,NA,NA,NA,NA
2524,103,103,1,"""The police brought me.",Told,3,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2525,Refugee camp,2491,Liminal,NA,Imagined,NA,NA,NA,NA
2524,103,103,1,"""The police brought me.",Told,3,Sequential,Present,2527,Unnamed,Male,Police,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2525,Refugee camp,2491,Liminal,NA,Imagined,NA,NA,NA,NA
2523,103,103,3,"""Do you remember your father?""",First-person,2,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2523,103,103,3,"""Do you remember your father?""",First-person,2,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2522,103,103,2,When she brought me tea,First-person,13,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2522,103,103,2,When she brought me tea,First-person,13,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2520,103,103,1,Sometimes she threaded buds,First-person,12,Continuous,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2520,103,103,1,Sometimes she threaded buds,First-person,12,Continuous,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2519,102,103,4,She kept her clothes very clean,First-person,11,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2518,102,102,3,"""After my sister was married, she went",Told,1,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2518,102,102,3,"""After my sister was married, she went",Told,1,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2517,102,102,2,She came every morning with flowers,First-person,10,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2517,102,102,2,She came every morning with flowers,First-person,10,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2516,102,102,1,I could not tell her age.,First-person,9,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2516,102,102,1,I could not tell her age.,First-person,9,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2499,101,102,3,She tore me out of the shroud of my thoughts,First-person,8,Sequential,Present,2498,Unnamed,Female,Narrator,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2499,101,102,3,She tore me out of the shroud of my thoughts,First-person,8,Sequential,Present,2501,Unnamed,Female,Servant,Bibi,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2500,Narrator's home,2491,Private,NA,Imagined,NA,NA,NA,NA
2496,101,101,2,This summer the battle was lost before,Third-person,6,Sequential,Present,2497,Unnamed,Unknown,People affected by Partition,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2493,Streets of the narrator's town,2491,Public,NA,Imagined,NA,NA,NA,NA
2490,101,101,1,The flowers were awkwardly crowded,Third-person,7,Sequential,Present,2494,Unnamed,Female,Women adorned by flowers,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2493,Streets of the narrator's town,2491,Public,NA,Imagined,NA,NA,NA,NA
2490,101,101,1,The flowers were awkwardly crowded,Third-person,7,Sequential,Present,2495,Unnamed,Male,Men selling flowers,NA,2415,Stories about the Partition of India,After the Storm,2492,Hosain,Attia,Female,NA,2491,2493,Streets of the narrator's town,2491,Public,NA,Imagined,NA,NA,NA,NA
2489,125,125,2,"""If you are timid, you hang",Told,46,Sequential,Present,2437,Middle-Aged Man,Male,Unnamed,Uncrowned King,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2489,125,125,2,"""If you are timid, you hang",Told,46,Sequential,Present,2438,Slightly Older Woman,Female,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2489,125,125,2,"""If you are timid, you hang",Told,46,Sequential,Present,2440,Young Girl,Female,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2489,125,125,2,"""If you are timid, you hang",Told,46,Sequential,Present,2442,Thin Man,Male,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2488,125,125,1,His sister-in-law was waiting for him,Third-person,45,Sequential,Present,2438,Slightly Older Woman,Female,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2488,125,125,1,His sister-in-law was waiting for him,Third-person,45,Sequential,Present,2437,Middle-Aged Man,Male,Unnamed,Uncrowned King,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2487,124,124,6,The chaprasi pushed the chick curtain,Third-person,44,Sequential,Present,2427,Chaprasi,Male,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2374,Commisioner's Office,2369,Public,NA,Invented,NA,NA,NA,NA
2487,124,124,6,The chaprasi pushed the chick curtain,Third-person,44,Sequential,Present,2433,Commissioner Sahib,Male,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2374,Commisioner's Office,2369,Public,NA,Invented,NA,NA,NA,NA
2487,124,124,6,The chaprasi pushed the chick curtain,Third-person,44,Sequential,Present,2437,Middle-Aged Man,Male,Unnamed,Uncrowned King,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2374,Commisioner's Office,2369,Public,NA,Invented,NA,NA,NA,NA
2486,124,124,5,"Saying that, the commissioner went back",Third-person,43,Sequential,Present,2433,Commissioner Sahib,Male,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2374,Commisioner's Office,2369,Public,NA,Invented,NA,NA,NA,NA
2486,124,124,5,"Saying that, the commissioner went back",Third-person,43,Sequential,Present,2437,Middle-Aged Man,Male,Unnamed,Uncrowned King,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2374,Commisioner's Office,2369,Public,NA,Invented,NA,NA,NA,NA
2485,124,124,4,"""I want to see you, Sahib,""",Told,42,Sequential,Present,2437,Middle-Aged Man,Male,Unnamed,Uncrowned King,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2485,124,124,4,"""I want to see you, Sahib,""",Told,42,Sequential,Present,2433,Commissioner Sahib,Male,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
2484,124,124,3,Suddenly there was panic in the,Third-person,41,Sequential,Present,2421,People Gathered,Unknown,Unnamed,NA,35,Stories about the Partition of India,God's Dog,2370,Rakesh,Mohan,Male,NA,2369,2373,Compound,2369,Public,NA,Invented,NA,NA,NA,NA
